Name,SMILES,Eu_mean,Eu_std,Am_mean,Am_std,Delta_mean,Delta_std
39853,CCC(CC[C@@](C[C@@H](c1cc2ccc3c(c2nc1C1=NC=CC1)nc(cc3)c1ccccn1)C)(CC)C)CC,10.843494939804078,0.555594917010001,12.898838243484498,0.5569585714947872,2.05534330368042,0.2362159288630599
69736,CC[C@H](C(C)C)CCc1ccc(nc1)c1nc2c(cc1[C@H](C(C)(C)C)C)ccc1c2nc(cc1)C1=NC=CC1,8.960320239067078,0.5228616610620024,11.015548334121704,0.4958867761619451,2.0552280950546264,0.2420437090718944
128612,CC[C@@H]([C@H](CC[C@H]1C=CN=C1c1ccc2c(n1)c1nc(c3ccccn3)c(cc1cc2)[C@H](C(C)(C)C)C)C)C,9.623415913581848,0.5507154376635248,11.678437566757202,0.5685247282683145,2.055021653175354,0.2466696644298201
229370,CC[C@@H]([C@@H](c1cc2ccc3c(c2nc1c1ccc(cn1)CCC(C)(C)C)nc(cc3)C1=NC=CC1)C(C)C)C,8.28564465045929,0.5492834004431872,10.337353973388671,0.5510118691548672,2.051709322929382,0.2391645264250835
126137,CCC(CC1=CCC(=N1)c1cc([C@H]([C@H](C(C)C)C)C)c2c(n1)c1nc(ccc1cc2)c1ccccn1)CC,9.932176265716553,0.5910482760046524,11.983240633010864,0.6341498128864255,2.051064367294312,0.2457374110424058
85991,CC(C[C@H]([C@H](c1cccnc1c1nc2c(cc1CC(C)(C)C)ccc1c2nc(cc1)C1=NC=CC1)C)C)C,9.501038942337036,0.7907704412402888,11.547884349823,0.7907825633359917,2.046845407485962,0.2403859292316136
76152,CC[C@@H](C[C@@H](CC1=CCC(=N1)c1ccc2c(n1)c1nc(c3ccccn3)c(cc1cc2)[C@@H](C(C)(C)C)C)C)C,9.517601537704468,0.5394154055940391,11.563893184661865,0.5531308422698215,2.046291646957397,0.247868951942913
191065,CC[C@@H]([C@@H](c1cccnc1c1nc2c(cc1C[C@@H](C(C)C)C)ccc1c2nc(cc1)C1=NC=CC1)C)C,9.774443016052246,0.5199071557546135,11.819757804870603,0.4831940935120832,2.04531478881836,0.2333224270407181
247896,CC(C[C@@H]([C@@H](c1cc2ccc3c(c2nc1C1=NC=CC1)nc(cc3)c1nccc(c1)C(C)C)C)C)C,9.364434061050416,0.6769976734053947,11.40799870491028,0.6949777011546735,2.043564643859863,0.2267223897132302
249737,CCC(C[C@@H](c1ccc(nc1)c1ccc2c(n1)c1nc(C3=NC=CC3)c(cc1cc2)CC(C)(C)C)C)CC,9.134868745803834,0.5754334490494296,11.177321939468383,0.5940867634755834,2.0424531936645507,0.2485194841085982
